aX,aY,aZ,gX,gY,gZ
-0.36,0.39,1.31,-9.77,30.76,54.69
-0.35,0.40,1.29,-10.99,33.33,54.75
-0.35,0.43,1.28,-11.11,35.10,54.81
-0.34,0.47,1.26,-10.86,36.93,54.57
-0.34,0.49,1.22,-11.17,39.06,53.04
-0.34,0.49,1.23,-11.47,39.73,51.03
-0.33,0.48,1.23,-12.08,40.65,49.38
-0.32,0.48,1.24,-12.39,42.79,47.97
-0.32,0.53,1.23,-12.15,45.29,47.18
-0.32,0.53,1.21,-12.57,47.91,45.35
-0.31,0.56,1.24,-13.55,49.56,43.33
-0.30,0.59,1.22,-13.18,52.86,41.02
-0.29,0.56,1.15,-12.39,57.68,36.80
-0.28,0.53,1.11,-10.38,59.39,33.69
-0.27,0.52,1.09,-8.36,59.08,31.80
-0.26,0.50,1.07,-9.09,59.27,29.91
-0.25,0.52,1.09,-10.44,58.29,28.38
-0.25,0.56,1.10,-10.19,57.80,26.67
-0.25,0.55,1.11,-9.77,58.35,23.25
-0.24,0.54,1.12,-9.40,59.69,19.84
-0.23,0.53,1.14,-8.61,61.77,16.48
-0.21,0.48,1.08,-9.83,65.55,13.18
-0.20,0.47,1.01,-10.93,68.18,12.08
-0.19,0.48,0.98,-12.08,67.93,11.29
-0.18,0.44,0.98,-14.04,66.35,9.40
-0.17,0.45,0.98,-14.71,65.80,8.48
-0.16,0.46,0.92,-13.55,66.89,7.81
-0.15,0.45,0.89,-13.43,65.98,5.68
-0.14,0.46,0.90,-14.95,63.17,4.58
-0.12,0.48,0.94,-14.65,61.04,3.60
-0.11,0.50,0.93,-13.67,61.71,2.08
-0.11,0.50,0.90,-14.16,62.87,0.31
-0.10,0.51,0.89,-14.59,62.68,-1.95
-0.09,0.53,0.87,-14.77,63.05,-3.91
-0.07,0.51,0.84,-15.81,63.11,-6.04
-0.05,0.50,0.82,-16.72,62.93,-8.42
-0.04,0.51,0.78,-16.11,62.44,-9.83
-0.03,0.50,0.75,-15.93,61.16,-12.27
-0.02,0.49,0.74,-16.05,58.84,-14.34
-0.01,0.49,0.77,-17.15,55.66,-16.11
0.00,0.50,0.77,-18.01,54.14,-18.01
0.01,0.49,0.77,-18.80,53.04,-20.14
0.02,0.48,0.78,-20.02,52.31,-22.22
0.03,0.46,0.78,-20.51,52.00,-24.11
0.04,0.47,0.78,-18.43,52.00,-24.78
